"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","105.74","103.86","108.07","103.37","","1.69%"
"10/01/2024","103.98","100.74","104.64","100.70","","3.18%"
"09/01/2024","100.78","101.73","101.92","100.16","","-0.90%"
"08/01/2024","101.70","104.07","104.45","100.51","","-2.31%"
"07/01/2024","104.10","105.85","106.05","103.65","","-1.67%"
"06/01/2024","105.87","104.63","106.13","103.99","","1.14%"
"05/01/2024","104.67","106.32","106.49","104.08","","-1.46%"
"04/01/2024","106.22","104.49","106.52","103.88","","1.60%"
"03/01/2024","104.55","104.13","104.73","102.36","","0.37%"
"02/01/2024","104.16","103.51","104.98","102.90","","0.85%"
"01/01/2024","103.27","101.42","103.82","101.34","","1.92%"
"12/01/2023","101.33","103.36","104.26","100.62","","-2.09%"
"11/01/2023","103.50","106.67","107.11","102.47","","-2.97%"
"10/01/2023","106.66","106.17","107.35","105.36","","0.41%"
"09/01/2023","106.22","103.62","106.84","103.27","","2.51%"
"08/01/2023","103.62","101.87","104.45","101.74","","1.73%"
"07/01/2023","101.86","102.93","103.57","99.58","","-1.03%"
"06/01/2023","102.91","104.15","104.50","101.92","","-1.36%"
"05/01/2023","104.33","101.67","104.70","101.03","","2.62%"
"04/01/2023","101.66","102.59","103.06","100.79","","-0.83%"
"03/01/2023","102.51","105.04","105.88","101.92","","-2.25%"
"02/01/2023","104.87","102.10","105.36","100.82","","2.72%"
"01/01/2023","102.10","103.66","105.63","101.50","","-1.38%"
"12/01/2022","103.52","105.70","105.90","103.39","","-2.29%"
"11/01/2022","105.95","111.52","113.15","105.32","","-5.00%"
"10/01/2022","111.53","112.17","113.94","109.54","","-0.53%"
"09/01/2022","112.12","108.84","114.78","107.68","","3.14%"
"08/01/2022","108.70","105.83","109.48","104.64","","2.64%"
"07/01/2022","105.90","104.78","109.29","104.74","","1.16%"
"06/01/2022","104.68","101.76","105.79","101.64","","2.88%"
"05/01/2022","101.75","103.21","105.00","101.30","","-1.17%"
"04/01/2022","102.96","98.33","103.93","98.31","","4.73%"
"03/01/2022","98.31","96.76","99.42","96.63","","1.66%"
"02/01/2022","96.71","96.70","97.74","95.14","","0.17%"
"01/01/2022","96.54","95.67","97.44","94.63","","0.60%"
"12/01/2021","95.97","95.94","96.91","95.57","","-0.03%"
"11/01/2021","95.99","94.13","96.94","93.82","","1.99%"
"10/01/2021","94.12","94.31","94.56","93.28","","-0.11%"
"09/01/2021","94.23","92.66","94.50","91.95","","1.73%"
"08/01/2021","92.63","92.09","93.73","91.82","","0.49%"
"07/01/2021","92.17","92.35","93.19","91.78","","-0.28%"
"06/01/2021","92.44","89.81","92.45","89.66","","2.67%"
"05/01/2021","90.03","91.30","91.44","89.54","","-1.37%"
"04/01/2021","91.28","93.22","93.34","90.42","","-2.09%"
"03/01/2021","93.23","90.93","93.44","90.63","","2.59%"
"02/01/2021","90.88","90.53","91.60","89.68","","0.33%"
"01/01/2021","90.58","89.93","90.95","89.21","","0.72%"
"12/01/2020","89.94","91.94","91.94","89.52","","-2.10%"
"11/01/2020","91.87","93.89","94.30","91.51","","-2.31%"
"10/01/2020","94.04","93.80","94.10","92.47","","0.16%"
"09/01/2020","93.89","92.18","94.74","91.75","","1.89%"
"08/01/2020","92.14","93.46","93.99","91.99","","-1.29%"
"07/01/2020","93.35","97.39","97.62","92.55","","-4.15%"
"06/01/2020","97.39","98.30","98.32","95.72","","-0.97%"
"05/01/2020","98.34","99.13","100.56","97.94","","-0.68%"
"04/01/2020","99.02","99.01","100.93","98.81","","-0.03%"
"03/01/2020","99.05","98.12","102.99","94.65","","0.93%"
"02/01/2020","98.13","97.37","99.91","97.37","","0.76%"
"01/01/2020","97.39","96.50","98.19","96.39","","1.04%"
"12/01/2019","96.39","98.27","98.38","96.36","","-1.92%"
"11/01/2019","98.27","97.30","98.54","97.11","","0.95%"
"10/01/2019","97.35","99.40","99.67","97.14","","-2.04%"
"09/01/2019","99.38","98.83","99.46","97.86","","0.47%"
"08/01/2019","98.92","98.59","99.02","97.03","","0.41%"
"07/01/2019","98.52","96.25","98.68","96.25","","2.48%"
"06/01/2019","96.13","97.64","97.80","95.84","","-1.66%"
"05/01/2019","97.75","97.53","98.37","97.03","","0.28%"
"04/01/2019","97.48","97.18","98.33","96.75","","0.20%"
"03/01/2019","97.28","96.22","97.71","95.74","","1.17%"
"02/01/2019","96.16","95.55","97.37","95.40","","0.61%"
"01/01/2019","95.58","96.15","96.96","95.03","","-0.62%"
"12/01/2018","96.17","97.13","97.71","96.00","","-1.13%"
"11/01/2018","97.27","97.08","97.69","95.68","","0.15%"
"10/01/2018","97.13","95.11","97.20","94.79","","2.10%"
"09/01/2018","95.13","95.19","95.74","93.81","","-0.01%"
"08/01/2018","95.14","94.56","96.98","94.43","","0.68%"
"07/01/2018","94.49","94.63","95.65","93.71","","-0.15%"
"06/01/2018","94.64","93.95","95.53","93.19","","0.69%"
"05/01/2018","93.99","91.81","95.03","91.80","","2.33%"
"04/01/2018","91.84","89.97","91.99","89.23","","2.08%"
"03/01/2018","89.97","90.67","90.93","88.94","","-0.71%"
"02/01/2018","90.61","89.04","90.70","88.25","","1.66%"
"01/01/2018","89.13","92.24","92.64","88.44","","-3.25%"
"12/01/2017","92.12","93.03","94.22","92.08","","-0.99%"
"11/01/2017","93.05","94.55","95.15","92.50","","-1.59%"
"10/01/2017","94.55","93.22","95.15","92.75","","1.59%"
"09/01/2017","93.08","92.61","93.67","91.01","","0.44%"
"08/01/2017","92.67","92.89","94.14","91.62","","-0.21%"
"07/01/2017","92.86","95.65","96.51","92.78","","-2.89%"
"06/01/2017","95.63","96.99","97.87","95.47","","-1.34%"
"05/01/2017","96.92","98.93","99.89","96.80","","-2.15%"
"04/01/2017","99.05","100.50","101.34","98.69","","-1.30%"
"03/01/2017","100.35","101.43","102.26","98.86","","-0.76%"
"02/01/2017","101.12","99.56","101.76","99.23","","1.62%"
"01/01/2017","99.51","102.38","103.82","99.43","","-2.64%"
"12/01/2016","102.21","101.52","103.65","99.43","","0.70%"
"11/01/2016","101.50","98.39","102.05","95.89","","3.10%"
"10/01/2016","98.44","95.54","99.12","95.46","","3.12%"
